descripcion;income_source;derived
ATROPELLO A UN ADULTO MAYOR;Centro de Monitoreo;Delictivo
AGRESION VERBAL A PERSONAL DE FISCALIZACION;Centro de Monitoreo;Delictivo
SE RECIBE LLAMADA DE RUIDOS MOLESTOS POR MUSICA EN CAPIRONAS CON LOS MUSGOS;Centro de Monitoreo;Delictivo
CAPTURA DE DD.CC. / ROBO A CASA;Centro de Monitoreo;Delictivo
HERIDO POR ATROPÈLLO;Centro de Monitoreo;Delictivo
HCP ROBO;Centro de Monitoreo;Delictivo
HERIDO DE BALA;Centro de Monitoreo;Delictivo
Esto es una prueba;Centro de Monitoreo;Delictivo
Esto es una prueba;Centro de Monitoreo;Delictivo
Esto es una prueba;Centro de Monitoreo;Delictivo
AGRESION;Centro de Monitoreo;Delictivo
CAPTURA DE DDCC / APOYO POLICIAL;Centro de Monitoreo;Delictivo
HERIDO POR ARMA  DE FUEGO;Centro de Monitoreo;Delictivo
TIPO: AMBULANTES EN VIA PUBLICA DENOMINACION: AMBULANTES EN VIA PUBLICA;Centro de Monitoreo;Delictivo
HURTO DE CABLES DE ALTA TENSION;Centro de Monitoreo;Delictivo
POSIBLE ROBO;Centro de Monitoreo;Delictivo
HERIDO POR PAF;Centro de Monitoreo;Delictivo
CAPTURA DE DD.CC;Centro de Monitoreo;Delictivo
Esto es una prueba;Centro de Monitoreo;Delictivo
PRUEBA;Centro de Monitoreo;Delictivo
TENDERO;Centro de Monitoreo;Delictivo
Esto es una prueba;Centro de Monitoreo;Delictivo
OPERATIVO CONJUNTO PNP;Centro de Monitoreo;Delictivo
COMERCIO AMBULATORIO;Centro de Monitoreo;Delictivo
BARRISTAS;Centro de Monitoreo;Delictivo
BHMDOMODJBUUN;Centro de Monitoreo;Delictivo
CAPTURA DE DDCC / APOYO POLICIAL;Centro de Monitoreo;Delictivo
ROBO A LOCAL COMERCIAL  - DISPAROS;Centro de Monitoreo;Delictivo
HURTO A LOCAL COMERCIAL;Centro de Monitoreo;Delictivo
INFORMA SUPERVISOR LOPEZ PALOMINO ANTONIO QUE SE PRODUJO UN ASALTO EN UN ESTABLECIMIENTO FARMACEUTICO;Centro de Monitoreo;Delictivo
INFORMA SERENA RICALDI QUE SE LE ACERCA UN VECINO MANIFESTANDO HABER SIDO VICTIMA DE ROBO;Centro de Monitoreo;Delictivo
Esto es una prueba;Centro de Monitoreo;Delictivo
Esto es una prueba;Centro de Monitoreo;Delictivo
Esto es una prueba;Centro de Monitoreo;Delictivo
OPERATIVO EN CONJUNTO CON LA PNP DE VILLA  ;Centro de Monitoreo;Delictivo
PRUEBA;Centro de Monitoreo;Delictivo
FDGDFG;Centro de Monitoreo;Delictivo
DSDSDS;Centro de Monitoreo;Delictivo
RUIDOS MOLESTOS;Centro de Monitoreo;Delictivo
OCCISO;Centro de Monitoreo;Delictivo
CAPTURA DE DDCC / APOYO POLICIAL;Centro de Monitoreo;Delictivo
Esto es una prueba;Centro de Monitoreo;Delictivo
DS;Centro de Monitoreo;Delictivo
DS;Centro de Monitoreo;Delictivo
4545DFSF;Centro de Monitoreo;Delictivo
AGRESION A PERSONAL DE SERENAZGO;Centro de Monitoreo;Delictivo
ROBO A MANO ARMADA;Centro de Monitoreo;Delictivo
PRUEBA DE ENVIO;Centro de Monitoreo;Delictivo
HURTO A PERSONAS (CELULARES. MOCHILAS, RELOJES, OTROS);Centro de Monitoreo;Delictivo
OPERATIVO CONJUNTO ESCUADRON VERDE Y GERENCIA DE SEGURIDAD CIUDADANA CHORRILLOS;Centro de Monitoreo;Delictivo
COMERCIO AMBULATORIO;Centro de Monitoreo;Delictivo
CIUDADANO REPORTA PRESUNTO ROPBO DE ESCALERA A LA EMPRESA DE WIN;Centro de Monitoreo;Delictivo
ROBO A PERSONA;Centro de Monitoreo;Delictivo
ROBO A LOCAL COMERCIAL;Centro de Monitoreo;Delictivo
SE OBSERVA POR CAMARA COMERCIO AMBULATORIO EN LAS ESQUINAS DE AV. GUARDIA CIVIL CON AV. EL SOL HASTA LAS  3AM;Centro de Monitoreo;Delictivo
RUIDOS MOLESTOS POR OBRAS / TRABAJOS;Centro de Monitoreo;Delictivo
OPERATIVO CONJUNTO ESCUADRON VERDE Y GERENCIA DE SEGURIDAD CIUDADANA CHORRILLOS ;Centro de Monitoreo;Delictivo
HERIDO POR ARMA BLANCA;Centro de Monitoreo;Delictivo
SE VISUALIZA COMERCIO AMBULATORIO EN VIA PUBLICA EN LA PUERTA DEL TRAGAMONEDAS EN LA CUADRA 5 DE HUAYLAS;Centro de Monitoreo;Delictivo
TIPO: INFORMACION DEL SERVICIO  DENOMINACION: COMERCIO AMBULATORIO (VENTA DE CUBETAS DE ARENA;Centro de Monitoreo;Delictivo
CAPTURA DE DDCC / ARRESTO CIUDADANO;Centro de Monitoreo;Delictivo
CAPTURA DE DDCC / APOYO POLICIAL;Centro de Monitoreo;Delictivo
OPERATIVO EN CONJUNTO PERMANENCIA Y ESCUADRON VERDE;Centro de Monitoreo;Delictivo
CAPTURA DE DDCC / ARRESTO CIUDADANO;Centro de Monitoreo;Delictivo
ATROPELLO;Centro de Monitoreo;Delictivo
ATROPELLO;Centro de Monitoreo;Delictivo
RUIDOS MOLESTO POR TRABAJO;Centro de Monitoreo;Delictivo
CAPTURA DE DDCC / ARRESTO CIUDADANO;Centro de Monitoreo;Delictivo
REPORTAN AMBULANTES;Centro de Monitoreo;Delictivo
INFORMA SERENA RICALDI UN ROBO A UN TAXISTA;Centro de Monitoreo;Delictivo
AGENTE PORRAS CIPRIANI INFORMA SOBRE ROBO DE VEHICULO / MODALIDAD ESTACIONADO;Centro de Monitoreo;Delictivo
ROBO A MANO ARMADA;Centro de Monitoreo;Delictivo
HCSP PRESUNTA MICROCOMERCIALIZACION DE DROGAS;Centro de Monitoreo;Delictivo
ROBO DISPOSITIVO MÓVIL;Centro de Monitoreo;Delictivo
RUIDOS MOLESTOS POR SOLDADURAS;Centro de Monitoreo;Delictivo
ROBO;Centro de Monitoreo;Delictivo
SUJETO ACOSADOR TIENE DENUNCIA Y QUIERE INGRESAR A CASA DE LA OCCISA. ;Centro de Monitoreo;Delictivo
INTERVENCION A PRESUNTO DDCC / APOYO POLICIAL;Centro de Monitoreo;Delictivo
ROBO A ESTABLECIMIENTO COMERCIAL;Centro de Monitoreo;Delictivo
ROBO DE BICICLETAS SIN PROCEDER A DENUNCIA.;Centro de Monitoreo;Delictivo
COMERCIO AMBULATORIO;Centro de Monitoreo;Delictivo
AGRESION AL COORDINADOR ESPINOZA PULISCI JOSE ANTONIO;Centro de Monitoreo;Delictivo
ROBO A PERSONA;Centro de Monitoreo;Delictivo
TIPO: AMBULANTES EN VIA PUBLICA DENOMINACIÓN: AMBULANTES EN VIA PUBLICA;Centro de Monitoreo;Delictivo
CAPTURA DE SUPUESTO LADRON Y PEDOFILO EN PLAYA;Centro de Monitoreo;Delictivo
INTERVENCION A PRESUNTO DDCC / APOYO POLICIAL;Centro de Monitoreo;Delictivo
AMBULANTES EN VIA PUBLICA;Centro de Monitoreo;Delictivo
OP JULIA ESPINOZA-LLAMADA CONTRIBUYENTE QUEJA RUIDOS MOLESTOS;Centro de Monitoreo;Delictivo
MANIFESTACIONES Y DISTURBIOS CON VIOLENCIAS;Centro de Monitoreo;Delictivo
CIUDADANO REPORTA AMBULANTE INFORMAL;Centro de Monitoreo;Delictivo
AMBULANTES;Centro de Monitoreo;Delictivo
REPORTAN AMBULANTES;Centro de Monitoreo;Delictivo
HCP ROBO MODALIDAD ARREBATO;Centro de Monitoreo;Delictivo
PRESUNTO ROBO;Centro de Monitoreo;Delictivo
COMERCIO AMBULATORIO;Centro de Monitoreo;Delictivo
CIUDADANO REPORTA AMBULANTES;Centro de Monitoreo;Delictivo
CIUDADANO REPORTA AMBULANTE;Centro de Monitoreo;Delictivo
SE RECIBE COMUNICACIÓN DEL AGENTE DE SERENAZGO QUIEN INFORMA, QUE UN CIUDADANO HA REPORTADO HABER SIDO VICTIMA DE ROBO DE SU CELULAR.;Centro de Monitoreo;Delictivo
ROBO DE UN VEHICULO A MANO ARMADA;Centro de Monitoreo;Delictivo
CAPTURA DE DDCC / ARRESTO CIUDADANO;Centro de Monitoreo;Delictivo
MOTO LINIAL ABANDONADA;Centro de Monitoreo;Delictivo
AMBULANTES EN VIA PUBLICA;Centro de Monitoreo;Delictivo
HURTO;Centro de Monitoreo;Delictivo
AGRESION;Centro de Monitoreo;Delictivo
ROBO VEHICULAR;Centro de Monitoreo;Delictivo
02 CIUDADANOS HERIDOS POR BALA;Centro de Monitoreo;Delictivo
OPERATIVO CONJUNTO DEL ESCUADRÓN VERDE ZONA SUR Y LA GERENCIA DE SEGURIDAD CIUDADANA;Centro de Monitoreo;Delictivo
CAPTURA DE LADRON;Centro de Monitoreo;Delictivo
ROBO;Centro de Monitoreo;Delictivo
REPORTAN AMBULANTES;Centro de Monitoreo;Delictivo
INFORMA SERENA UN ROBO DE UN VEHICULO;Centro de Monitoreo;Delictivo
INFORMA SERENA QUE SE LE ACERCA UN VARON A REPORTARLE QUE SU AUTO FUE ROBADO;Centro de Monitoreo;Delictivo
INFORMA SUPERVISOR HURTADO UN APOYO A UN AGRAVIADO POR ROBO;Centro de Monitoreo;Delictivo
OPER: YAÑEZ - AMBULANTES EN VIA PUBLICA;Centro de Monitoreo;Delictivo
INTERVENCION A SUJETO EN CONSUMO DE SUSTANCIAS TOXICAS Y PRESUNTA MICROCOMERCIALIZACION DE DROGAS;Centro de Monitoreo;Delictivo
TRABAJOS;Centro de Monitoreo;Delictivo
02 SUJETOS ESTABAN  REALIZANDO UN PRESUNTO ROBO DE MEDIDORES DE AGUA POTABLE;Centro de Monitoreo;Delictivo
SE VISUALIZA COMERCIO AMBULATORIO DE ANTICUCHOS Y BEBIDAS ALCOHOLICAS EN JR. SAN FELIPE CUADRA 1 FRENTE AL COLEGIO SANTA ROSA;Centro de Monitoreo;Delictivo
FRUSTRACIÒN DE VEHICULO MENOR (MOTO LINEAL) PERTENECIENTE AL AREA DE MOVILIDAD URBANA.;Centro de Monitoreo;Delictivo
INTENTO DE HURTO AL INSTITUTO SUPERIOR TECNOLÓGICO PÚBLICO ANTENOR ORREGO;Centro de Monitoreo;Delictivo
OPER: YAÑEZ  - AMBULANTES EN VIA PUBLICA;Centro de Monitoreo;Delictivo
OPER: YAÑEZ - AMBULANTES EN VIA PUBLICA;Centro de Monitoreo;Delictivo
REPORTAN AMBULANTES;Centro de Monitoreo;Delictivo
REPORTAN AMBULANTES;Centro de Monitoreo;Delictivo
AMBULANTES;Centro de Monitoreo;Delictivo
PRESUNTO ROBO A DOMICILIO;Centro de Monitoreo;Delictivo
PRESUNTO ATROPELLO EN VIA;Centro de Monitoreo;Delictivo
AMBULANTES EN VIA PUBLICA;Centro de Monitoreo;Delictivo
CIUDADANO REPORTA RUIDOS MOLESTOS POR TRABAJOS DE JARDINERIA;Centro de Monitoreo;Delictivo
COMERCIO AMBULATORIO;Centro de Monitoreo;Delictivo
CIUDADANO REPORTA RUIDOS MOLESTOS POR TRABAJOS;Centro de Monitoreo;Delictivo
REPORTAN AMBULANTES;Centro de Monitoreo;Delictivo
RUIDOS MOLESTOS POR TRABAJOS;Centro de Monitoreo;Delictivo
ROBO A MANO ARMADA;Centro de Monitoreo;Delictivo
RUIDOS MOLESTOS POR OBRAS;Centro de Monitoreo;Delictivo
AMBULANTES EN LA VIA PUBLICA;Centro de Monitoreo;Delictivo
TOCAMIENTOS INDIVIDUOS;Centro de Monitoreo;Delictivo
TIPO: AMBULANTES EN VIA PUBLICA DENOMINACION: AMBULANTES EN VIA PUBLICA;Centro de Monitoreo;Delictivo
TIPO: AMBULANTES EN VIA PUBLICA DENOMINACION: COMERCIO AMBULATORIO;Centro de Monitoreo;Delictivo
RUIDOS MOLESTOS POR TRABAJOS;Centro de Monitoreo;Delictivo
OP: KENDRIC BARBOZA - RUIDOS MOLESTOS POR TRABAJOS;Centro de Monitoreo;Delictivo
CIUDADANO RPEORTA RUIDOS MOLESTOS POR TRABAJOS;Centro de Monitoreo;Delictivo
HURTO A LOCAL COMERCIAL / MODALIDAD TENDERO;Centro de Monitoreo;Delictivo
CIUDADANO NOS REPORTE RUIDOS MOLESTOS POR TRABAJOS;Centro de Monitoreo;Delictivo
VEHICULO MENOR;Centro de Monitoreo;Delictivo
SUJETO EN ESTADO DE EBRIEDAD;Centro de Monitoreo;Delictivo
ROBO DE UN DISPOSITIVO MOVIL Y BILLETERA;Centro de Monitoreo;Delictivo
CAPTURA DE DDCC / APOYO POLICIAL;Centro de Monitoreo;Delictivo
AMBULANTES EN LA VIA PUBLICA;Centro de Monitoreo;Delictivo
APOYO A PERSONA CON ALTERACIONES MENTALES;Centro de Monitoreo;Delictivo
CIUDADANO REPORTA RUIDOS MOLESTOS POR TRABAJOS AL PARECER SIN PERMISO;Centro de Monitoreo;Delictivo
CIUDADANO REPORTA AMBULANTE;Centro de Monitoreo;Delictivo
AMBULANTES EN VIA PUBLICA;Centro de Monitoreo;Delictivo
ROBO DE VEHICULO;Centro de Monitoreo;Delictivo
HCP ROBO;Centro de Monitoreo;Delictivo
TIPO: AMBULANTES EN VIA PUBLICA DENOMINACION: AMBULANTES EN VIA PUBLICA;Centro de Monitoreo;Delictivo
TIPO: RUIDOS MOLESTOS POR OBRAS / TRABAJOS DENOMINACION: RUIDOS MOLEESTOS POR TRABAJOS;Centro de Monitoreo;Delictivo
CAPTURA DE DDCC / APOYO POLICIAL;Centro de Monitoreo;Delictivo
HCP ROBO / ROBO CON ARMA DE FUEGO;Centro de Monitoreo;Delictivo
AMBULANTE;Centro de Monitoreo;Delictivo
ROBO A MANO ARMADA;Centro de Monitoreo;Delictivo
AMBULANTES;Centro de Monitoreo;Delictivo
AMBULANTES EN VIA PUBLICA;Centro de Monitoreo;Delictivo
CIUDADANO REPORTA RUIDOS MOLESTOS POR TALLER;Centro de Monitoreo;Delictivo
CIUDADANO REPORTA RUIDOS MOLESTOS POR TRABAJOS;Centro de Monitoreo;Delictivo
REPORTAN AMBULANTES;Centro de Monitoreo;Delictivo
Esto es una prueba;Centro de Monitoreo;Delictivo
INFORMA FEMINA QUE FUE VICTIMA DE AGRESION POR PARTE DEL PERSONAL DE SERENAZGO;Centro de Monitoreo;Delictivo
TIPO: AMBULANTES EN VIA PUBLICA DENOMINACION: AMBULANTES EN VIA PUBLICA;Centro de Monitoreo;Delictivo
CIUDADANO REPORTA AMBULANTE;Centro de Monitoreo;Delictivo
CIUDADANO REPORTA SUJETO EN PRESUNTA VENTA DE SUSTANCIAS ILICITAS;Centro de Monitoreo;Delictivo
ATROPELLO CON DAÑOS PERSONALES Y MATERIALES;Centro de Monitoreo;Delictivo
CAPTURA DE DDCC / ARRESTO CIUDADANO;Centro de Monitoreo;Delictivo
AMBULANTES;Centro de Monitoreo;Delictivo
CIUDADANO REPORTA COMERCIO AMBULATORIO;Centro de Monitoreo;Delictivo
CIUDADANO REPORTA COMERCIO AMBULATORIO;Centro de Monitoreo;Delictivo
SE APROXIMA A BASE MATELLINI UNA PAREJA DE ESPOSOS (NO BRINDARON DATOS) , INFORMANDO SOBRE EL ROBO DE SU DOMICILIO;Centro de Monitoreo;Delictivo
CIUDADANO REPORTA RUIDOS MOLESTOS POR OBRAS;Centro de Monitoreo;Delictivo
CIUDADANO REPORTA OBRAS SIN PERMISO;Centro de Monitoreo;Delictivo
CIUDADANO REPORTA AMBULANTE;Centro de Monitoreo;Delictivo
ROBO A MANO ARMADA;Centro de Monitoreo;Delictivo
FRUSTRACION DE ROBO DE AUTOPARTES;Centro de Monitoreo;Delictivo
COMERCIO AMBULATORIO;Centro de Monitoreo;Delictivo
TIPO: AMBULANTES EN VIA PUBLICA DENOMINACION: ACUMULACION DE COMERCIO AMBULATORIO;Centro de Monitoreo;Delictivo
TIPO: AMBULANTES EN VIA PUBLICA DENOMINACION: AMBULANTES EN VIA PUBLICA;Centro de Monitoreo;Delictivo
RUIDOS MOLESTOS POR OBRAS / TRABAJOS;Centro de Monitoreo;Delictivo
CIUDADANO REPORTA OBRA CLAUSURADA QUE CONTINUA SUS TRABAJOS;Centro de Monitoreo;Delictivo
HURTO A LOCAL COMERCIAL / MODALIDAD TENDERO;Centro de Monitoreo;Delictivo
TENDERO;Centro de Monitoreo;Delictivo
HURTO A PERSONA - MODALIDAD ARREBATO EN MOTO LINEAL;Centro de Monitoreo;Delictivo
ROBO DE VEHICULO MODALIDAD FALSO PASAJERO;Centro de Monitoreo;Delictivo
RUIDOS MOLESTOS;Centro de Monitoreo;Delictivo
OP JULIA ESPINOZA-RUIDOS MOLESTOS POR TRABAJOS;Centro de Monitoreo;Delictivo
TIPO: AMBULANTES EN VIA PUBLICA DENOMINACION: AMBULANTES EN VIA PUBLICA;Centro de Monitoreo;Delictivo
CIUDADANO INFORMA COMERCIO AMBULATORIO;Centro de Monitoreo;Delictivo
CIUDADANO REPORTA COMERCIO AMBULATORIO;Centro de Monitoreo;Delictivo
HCP ROBO;Centro de Monitoreo;Delictivo
TENDEROS ;Centro de Monitoreo;Delictivo
CAPTURA DE DDCC / ARRESTO CIUDADANO A PRESUNTO VIOLADOR;Centro de Monitoreo;Delictivo
PERSECUCION;Centro de Monitoreo;Delictivo
RUIDOS MOLESTOS DE TRABAJOS CON TALADRO;Centro de Monitoreo;Delictivo
TIPO: AMBULANTES EN VIA PUBLICA DENOMINACION: AMBULANTES EN VIA PUBLICA;Centro de Monitoreo;Delictivo
TIPO: AMBULANTES EN VIA PUBLICA DENOMINACION: AMBULANTES EN VIA PUBLICA;Centro de Monitoreo;Delictivo
TIPO: AMBULANTES EN VIA PUBLICA DENOMINACION: AMBULANTES EN VIA PUBLICA;Centro de Monitoreo;Delictivo
ROBO A MANO ARMADA;Centro de Monitoreo;Delictivo
REPORTAN AMBULANTES;Centro de Monitoreo;Delictivo
RUIDOS MOLESTOS POR OBRAS;Centro de Monitoreo;Delictivo
ROBO A  TRANSEUNTE;Centro de Monitoreo;Delictivo
ROBO DE AUTOPARTES / ACCESORIOS;Centro de Monitoreo;Delictivo
CIUDADANO REPORTA AMBULANTES;Centro de Monitoreo;Delictivo
CIUDADANO REPORTA AMBULANTE;Centro de Monitoreo;Delictivo
CIUDADANO REPORTA AMBULANTE /REITERATIVO(;Centro de Monitoreo;Delictivo
SUJETO HURTA TAPAS DE CONTENEDORES SUBTERRANEOS;Centro de Monitoreo;Delictivo
HERIDO POR ATROPELLO;Centro de Monitoreo;Delictivo
ATROPELLO;Centro de Monitoreo;Delictivo
REPORTAN COMERCIOS AMBULATORIOS A LAS AFUERAS DEL CLUB;Centro de Monitoreo;Delictivo
SE REICBE LA COMUNICACION VIA RADIAL DEL ROBO A PERSONA POR MODALIDAD DE COGOTEO;Centro de Monitoreo;Delictivo
SE RECIBE LA COMUNICACION TELEFONICA DE UN ROBO EN CALLE PUERTO CHICAMA 265;Centro de Monitoreo;Delictivo
PERSONA DORMITANTE;Centro de Monitoreo;Delictivo
INFORMA SUPERVISOR OLAYA GAMONAL CAPTURA DE DDCC;Centro de Monitoreo;Delictivo
REPORTAN COMERCIO AMBULATORIO EN LOS ALREDEDORES DE LA POSTA;Centro de Monitoreo;Delictivo
CIUDADANO RPEORTA RUIDOS MOLESTOS POR TRABAJOS;Centro de Monitoreo;Delictivo
CIUDADANO REPORTA AMBULANTES;Centro de Monitoreo;Delictivo
AMBULANTES;Centro de Monitoreo;Delictivo
AGRSION FISCIA;Centro de Monitoreo;Delictivo
VECINO INFORMA QUE ES UNA VENTA DE COMIDA LA CUAL TIENE  SU ALREDEDOR GRUPO DE PERSONAS GENERANDO RUIDOS MOLESTOS;Centro de Monitoreo;Delictivo
HURTO;Centro de Monitoreo;Delictivo
TIPO: ARROJO DE BASURA, DESMONTE Y/O MALEZA DENOMINACION: ARROJO DE DESMONTE;Centro de Monitoreo;Delictivo
ROBO EN PROCESO;Centro de Monitoreo;Delictivo
HCP ROBO;Centro de Monitoreo;Delictivo
HCP HURTO;Centro de Monitoreo;Delictivo
AGRESION CON HABLANCA;Centro de Monitoreo;Delictivo
INTERVENCION POLICIAL;Centro de Monitoreo;Delictivo
TIPO: AMBULANTES EN VIA PUBLICA DENOMINACION: AMBULANTES EN LA VIA PUBLICA;Centro de Monitoreo;Delictivo
